bust,waist,hips,shoulder,height,shape
43,41,42,20,156,Apple
40,37,39,18,154,Rectangle
38,28,36,18,170,Hourglass
34,31,41,18,156,Pear
36,34,35,17,185,Apple
35,34,37,19,180,Rectangle
43,39,38,24,153,InvertedTriangle
43,38,35,23,154,InvertedTriangle
33,30,40,15,155,Pear
38,37,37,19,171,Rectangle
42,32,42,18,175,Hourglass
38,34,31,21,185,InvertedTriangle
37,35,34,17,167,Apple
35,33,44,15,168,Pear
38,37,37,20,165,Apple
37,34,45,15,173,Pear
42,32,42,18,169,Hourglass
44,39,36,24,151,InvertedTriangle
40,37,39,16,167,Rectangle
36,28,34,17,155,Hourglass
37,35,37,17,166,Rectangle
36,27,35,17,180,Hourglass
36,28,38,19,171,Hourglass
39,30,38,17,171,Hourglass
36,33,38,16,166,Rectangle
43,40,36,21,166,InvertedTriangle
38,37,36,17,185,Apple
34,32,43,17,164,Pear
34,26,35,19,158,Hourglass
42,41,41,20,179,Apple
34,28,34,16,163,Hourglass
41,36,32,24,170,InvertedTriangle
38,36,37,16,175,Rectangle
35,33,36,17,153,Rectangle
33,29,45,17,153,Pear
37,31,37,17,185,Hourglass
37,35,39,18,172,Rectangle
37,27,38,18,168,Hourglass
40,39,39,18,158,Apple
38,35,40,18,177,Rectangle
43,39,35,21,166,InvertedTriangle
39,36,33,23,182,InvertedTriangle
39,33,29,24,170,InvertedTriangle
33,31,45,18,172,Pear
36,29,37,16,173,Hourglass
35,31,46,15,174,Pear
40,38,37,18,162,Apple
42,34,40,17,165,Hourglass
37,28,39,19,153,Hourglass
40,39,39,16,155,Rectangle
38,28,40,19,162,Hourglass
45,39,37,23,169,InvertedTriangle
35,25,34,18,155,Hourglass
44,38,36,23,184,InvertedTriangle
39,36,41,17,159,Rectangle
39,36,34,21,158,InvertedTriangle
36,33,35,16,181,Rectangle
46,43,40,21,182,InvertedTriangle
35,29,37,16,177,Hourglass
40,37,40,16,158,Rectangle
38,34,31,22,155,InvertedTriangle
40,31,41,19,155,Hourglass
39,37,38,18,178,Apple
42,36,34,20,181,InvertedTriangle
41,40,40,18,185,Apple
40,33,41,17,166,Hourglass
36,35,35,17,175,Apple
34,28,32,19,180,Hourglass
40,39,38,20,184,Apple
41,41,38,18,157,Apple
39,36,40,17,167,Rectangle
42,38,33,22,163,InvertedTriangle
36,32,46,15,176,Pear
32,27,43,18,151,Pear
39,36,30,21,163,InvertedTriangle
36,31,42,15,152,Pear
34,26,35,18,173,Hourglass
35,31,44,18,174,Pear
38,36,39,17,174,Rectangle
32,30,43,16,154,Pear
45,42,35,21,150,InvertedTriangle
45,39,38,20,150,InvertedTriangle
37,36,36,16,168,Rectangle
38,38,35,19,152,Apple
40,39,39,20,170,Apple
32,27,40,15,171,Pear
37,27,36,17,183,Hourglass
37,35,35,18,159,Apple
32,29,39,17,175,Pear
37,28,38,16,152,Hourglass
34,26,36,17,169,Hourglass
41,34,41,17,185,Hourglass
41,38,32,20,157,InvertedTriangle
41,41,40,19,180,Apple
34,32,34,16,160,Rectangle
39,35,33,21,177,InvertedTriangle
38,37,36,18,157,Apple
33,29,44,16,154,Pear
36,30,35,17,156,Hourglass
36,33,47,16,171,Pear
38,35,47,17,163,Pear
36,32,48,17,160,Pear
45,39,38,20,176,InvertedTriangle
34,32,41,15,172,Pear
38,37,37,17,170,Rectangle
41,40,40,20,165,Apple
39,33,41,18,150,Hourglass
44,42,42,18,154,Apple
44,39,38,24,153,InvertedTriangle
44,43,42,17,159,Apple
34,30,45,16,172,Pear
38,36,36,19,184,Apple
38,36,39,17,175,Rectangle
39,36,38,17,169,Rectangle
42,40,40,19,164,Apple
44,42,42,19,154,Apple
35,34,36,19,166,Rectangle
40,37,42,19,154,Rectangle
42,34,40,18,167,Hourglass
33,31,39,17,156,Pear
34,31,43,15,174,Pear
37,35,46,15,157,Pear
37,31,39,16,165,Hourglass
40,33,39,18,185,Hourglass
39,34,30,21,167,InvertedTriangle
40,38,39,16,151,Rectangle
42,39,37,22,182,InvertedTriangle
41,31,39,17,159,Hourglass
35,33,34,17,178,Rectangle
32,29,39,16,178,Pear
39,38,41,17,175,Rectangle
38,32,38,19,165,Hourglass
37,31,36,16,183,Hourglass
37,31,38,16,154,Hourglass
43,41,41,19,165,Apple
43,38,36,21,155,InvertedTriangle
36,32,46,15,185,Pear
39,37,37,19,163,Apple
46,43,37,21,178,InvertedTriangle
38,37,37,16,168,Rectangle
35,33,46,15,164,Pear
35,29,36,17,168,Hourglass
43,43,40,20,153,Apple
41,36,31,21,159,InvertedTriangle
34,31,36,17,180,Rectangle
34,31,36,17,152,Rectangle
46,43,41,22,154,InvertedTriangle
39,33,34,24,181,InvertedTriangle
40,38,38,18,167,Apple
34,24,34,17,176,Hourglass
36,31,44,16,161,Pear
42,36,37,22,155,InvertedTriangle
32,30,44,15,157,Pear
36,34,34,17,172,Apple
38,28,37,19,176,Hourglass
39,31,37,16,172,Hourglass
44,38,34,22,177,InvertedTriangle
37,33,44,16,179,Pear
41,32,39,18,163,Hourglass
40,36,33,24,177,InvertedTriangle
38,36,50,18,183,Pear
37,37,36,20,173,Apple
42,41,40,19,169,Apple
39,38,38,18,172,Apple
34,33,35,19,150,Rectangle
42,33,43,18,166,Hourglass
45,40,37,24,157,InvertedTriangle
38,34,47,15,150,Pear
36,27,35,16,156,Hourglass
37,36,34,18,185,Apple
34,31,35,16,160,Rectangle
37,35,38,18,171,Rectangle
40,34,35,20,150,InvertedTriangle
38,36,39,16,157,Rectangle
36,29,37,19,171,Hourglass
39,37,37,18,177,Apple
41,35,33,22,183,InvertedTriangle
46,41,39,23,175,InvertedTriangle
34,32,33,19,180,Rectangle
42,36,43,16,158,Hourglass
40,39,37,17,180,Apple
37,35,36,17,185,Apple
38,35,29,24,185,InvertedTriangle
45,41,38,23,156,InvertedTriangle
38,38,35,19,184,Apple
42,42,39,17,152,Apple
43,41,40,19,151,Apple
39,37,41,19,157,Rectangle
39,39,36,19,174,Apple
43,39,38,24,168,InvertedTriangle
36,35,33,19,182,Apple
42,42,41,18,151,Apple
39,36,31,23,179,InvertedTriangle
36,35,33,18,173,Apple
38,36,35,17,168,Apple
39,37,39,16,164,Rectangle
37,28,36,18,153,Hourglass
34,32,44,17,179,Pear
45,40,36,20,160,InvertedTriangle
44,43,43,20,168,Apple
36,34,44,16,185,Pear
33,29,43,18,180,Pear
45,40,39,22,174,InvertedTriangle
46,43,41,20,179,InvertedTriangle
34,24,35,18,161,Hourglass
40,38,41,19,153,Rectangle
36,33,42,16,178,Pear
34,29,45,15,174,Pear
44,44,43,19,160,Apple
36,34,35,19,166,Rectangle
38,34,49,15,165,Pear
39,39,38,17,157,Apple
37,37,35,20,155,Apple
44,39,37,24,161,InvertedTriangle
38,36,36,20,161,Apple
35,25,33,17,153,Hourglass
44,42,41,20,168,Apple
44,43,43,17,168,Apple
39,33,39,16,172,Hourglass
45,40,39,20,173,InvertedTriangle
34,31,33,18,163,Rectangle
46,41,41,21,150,InvertedTriangle
37,31,36,17,165,Hourglass
45,42,36,21,178,InvertedTriangle
33,31,43,18,161,Pear
39,39,38,19,172,Apple
36,33,45,18,180,Pear
43,37,33,22,167,InvertedTriangle
41,35,39,18,170,Hourglass
41,40,38,20,160,Apple
38,32,39,18,152,Hourglass
38,35,39,16,177,Rectangle
44,42,41,18,176,Apple
32,27,43,18,153,Pear
38,33,44,17,174,Pear
38,29,36,17,180,Hourglass
34,31,45,17,173,Pear
33,29,44,17,158,Pear
34,28,32,18,179,Hourglass
39,33,33,22,155,InvertedTriangle
35,34,36,16,161,Rectangle
34,31,45,16,181,Pear
32,27,43,16,153,Pear
32,29,43,17,171,Pear
39,37,40,16,167,Rectangle
39,39,36,20,168,Apple
40,37,40,16,176,Rectangle
34,26,32,16,152,Hourglass
38,34,48,16,171,Pear
45,41,38,24,184,InvertedTriangle
35,32,43,17,171,Pear
39,38,39,17,174,Rectangle
40,37,32,20,173,InvertedTriangle
41,41,40,20,169,Apple
42,34,42,16,181,Hourglass
38,36,47,18,155,Pear
41,34,40,18,174,Hourglass
40,37,34,24,155,InvertedTriangle
41,31,42,16,164,Hourglass
44,39,37,21,166,InvertedTriangle
40,38,39,17,174,Rectangle
37,29,39,19,151,Hourglass
42,42,39,17,167,Apple
38,38,37,17,185,Apple
40,31,38,19,150,Hourglass
41,41,40,18,175,Apple
46,42,40,22,164,InvertedTriangle
34,33,35,17,168,Rectangle
39,36,41,17,170,Rectangle
42,36,33,21,163,InvertedTriangle
36,34,42,15,151,Pear
40,38,38,19,171,Apple
43,43,40,18,168,Apple
34,33,33,18,167,Rectangle
38,29,37,18,174,Hourglass
36,33,42,17,157,Pear
38,31,40,17,173,Hourglass
35,31,44,17,160,Pear
37,35,36,18,157,Rectangle
34,30,43,18,182,Pear
41,37,32,20,168,InvertedTriangle
39,33,39,17,169,Hourglass
39,33,34,21,177,InvertedTriangle
35,33,36,19,150,Rectangle
36,34,35,18,161,Apple
39,36,39,16,170,Rectangle
40,32,41,17,158,Hourglass
32,29,44,15,158,Pear
39,31,40,17,161,Hourglass
36,35,38,18,170,Rectangle
37,35,39,18,169,Rectangle
42,36,37,23,180,InvertedTriangle
40,35,34,20,181,InvertedTriangle
40,37,34,24,154,InvertedTriangle
41,38,32,24,177,InvertedTriangle
40,34,34,22,184,InvertedTriangle
38,35,30,22,152,InvertedTriangle
38,32,32,24,183,InvertedTriangle
43,39,33,21,169,InvertedTriangle
37,34,37,19,167,Rectangle
33,28,40,15,151,Pear
36,31,45,15,154,Pear
33,29,42,16,166,Pear
36,35,36,17,156,Rectangle
38,30,40,17,176,Hourglass
41,32,41,18,170,Hourglass
35,32,35,19,162,Rectangle
38,29,37,16,155,Hourglass
38,29,38,19,181,Hourglass
41,37,35,20,181,InvertedTriangle
40,37,33,24,181,InvertedTriangle
36,35,38,16,174,Rectangle
46,43,40,23,165,InvertedTriangle
37,33,43,18,181,Pear
34,32,35,19,163,Rectangle
36,28,35,17,171,Hourglass
42,38,33,22,174,InvertedTriangle
36,30,35,17,159,Hourglass
39,34,31,23,182,InvertedTriangle
33,29,40,16,171,Pear
34,25,35,18,152,Hourglass
37,33,46,15,168,Pear
36,34,35,17,154,Rectangle
40,36,34,20,168,InvertedTriangle
45,40,40,20,158,InvertedTriangle
35,34,35,19,166,Rectangle
36,35,35,18,184,Apple
42,39,33,24,181,InvertedTriangle
44,43,42,17,164,Apple
37,33,46,17,158,Pear
42,36,32,24,184,InvertedTriangle
35,32,36,19,177,Rectangle
35,28,36,17,175,Hourglass
35,30,41,18,175,Pear
38,35,38,19,167,Rectangle
38,32,40,19,171,Hourglass
35,25,33,16,164,Hourglass
36,32,46,17,156,Pear
39,33,39,18,184,Hourglass
35,34,37,16,166,Rectangle
41,35,40,18,153,Hourglass
37,34,49,18,152,Pear
37,35,36,17,155,Apple
37,34,43,18,180,Pear
33,30,42,17,166,Pear
39,36,39,17,183,Rectangle
38,36,47,16,163,Pear
39,29,39,18,163,Hourglass
43,41,40,18,152,Apple
34,32,41,18,173,Pear
39,35,34,22,175,InvertedTriangle
36,27,34,16,183,Hourglass
37,35,36,18,169,Apple
46,41,36,21,150,InvertedTriangle
34,32,35,18,176,Rectangle
42,32,42,17,168,Hourglass
38,28,38,16,150,Hourglass
37,37,35,17,164,Apple
39,38,40,18,165,Rectangle
39,36,40,18,183,Rectangle
38,34,31,21,152,InvertedTriangle
39,39,37,17,180,Apple
41,40,38,17,181,Apple
36,34,34,20,155,Apple
35,33,43,18,151,Pear
42,32,44,18,151,Hourglass
33,28,40,16,161,Pear
41,38,36,22,156,InvertedTriangle
37,36,37,17,182,Rectangle
34,27,33,19,180,Hourglass
42,37,34,23,173,InvertedTriangle
42,37,32,24,167,InvertedTriangle
42,40,41,18,150,Apple
40,30,39,19,162,Hourglass
40,40,38,19,168,Apple
40,30,42,17,160,Hourglass
36,27,38,19,180,Hourglass
40,37,31,21,165,InvertedTriangle
42,39,35,24,158,InvertedTriangle
43,39,33,23,161,InvertedTriangle
40,30,41,18,155,Hourglass
46,40,36,22,170,InvertedTriangle
44,44,43,18,166,Apple
40,40,39,18,160,Apple
42,36,44,18,170,Hourglass
36,35,34,20,181,Apple
34,28,34,18,152,Hourglass
43,43,41,20,163,Apple
36,33,44,15,166,Pear
36,36,33,18,180,Apple
44,38,34,23,155,InvertedTriangle
36,27,35,18,161,Hourglass
44,40,37,21,166,InvertedTriangle
37,35,36,17,157,Apple
34,32,33,18,172,Rectangle
34,25,35,16,153,Hourglass
46,40,39,20,183,InvertedTriangle
35,32,45,15,156,Pear
46,41,40,22,185,InvertedTriangle
37,35,39,16,184,Rectangle
40,36,35,21,151,InvertedTriangle
39,35,31,24,153,InvertedTriangle
37,36,34,18,169,Apple
38,35,30,21,166,InvertedTriangle
37,30,37,17,153,Hourglass
34,32,42,18,185,Pear
35,32,45,17,150,Pear
38,35,37,19,179,Rectangle
40,38,38,17,169,Apple
41,32,43,19,158,Hourglass
39,29,41,19,172,Hourglass
38,33,30,21,171,InvertedTriangle
35,34,35,18,159,Rectangle
38,36,35,20,151,Apple
42,37,32,22,150,InvertedTriangle
42,33,42,18,165,Hourglass
38,38,35,17,157,Apple
37,34,36,16,181,Rectangle
46,43,38,23,172,InvertedTriangle
43,38,38,23,157,InvertedTriangle
43,40,35,21,168,InvertedTriangle
38,36,49,15,175,Pear
36,36,35,17,165,Apple
38,35,38,19,183,Rectangle
36,35,34,18,163,Apple
40,33,40,17,183,Hourglass
42,37,32,23,156,InvertedTriangle
36,32,46,17,158,Pear
41,34,40,19,168,Hourglass
38,37,40,16,152,Rectangle
42,42,40,17,160,Apple
46,43,41,23,157,InvertedTriangle
46,42,36,20,167,InvertedTriangle
36,36,34,18,150,Apple
39,36,41,16,179,Rectangle
37,37,34,17,179,Apple
36,28,38,17,180,Hourglass
36,34,34,17,184,Apple
34,27,35,17,157,Hourglass
46,43,40,23,169,InvertedTriangle
36,34,46,17,169,Pear
41,41,38,17,175,Apple
34,25,36,19,173,Hourglass
37,32,45,17,161,Pear
41,36,35,23,160,InvertedTriangle
38,36,36,18,180,Apple
38,36,39,17,150,Rectangle
39,34,30,20,159,InvertedTriangle
42,36,37,21,163,InvertedTriangle
34,24,36,19,177,Hourglass
33,28,44,18,178,Pear
35,30,43,15,161,Pear
40,38,37,18,177,Apple
39,34,30,24,170,InvertedTriangle
33,30,39,17,180,Pear
38,37,37,20,154,Apple
42,41,39,18,170,Apple
40,38,40,16,151,Rectangle
32,30,41,17,164,Pear
36,36,35,17,176,Apple
36,35,38,19,168,Rectangle
32,27,43,15,163,Pear
45,42,38,22,150,InvertedTriangle
44,44,41,19,152,Apple
38,29,37,18,157,Hourglass
42,40,41,18,176,Apple
34,31,36,17,150,Rectangle
38,32,38,16,164,Hourglass
41,34,39,17,171,Hourglass
33,30,45,15,185,Pear
34,32,35,18,164,Rectangle
42,39,37,20,156,InvertedTriangle
35,31,46,16,182,Pear
42,42,40,17,157,Apple
37,27,36,17,154,Hourglass
42,40,40,18,154,Apple
42,40,39,20,167,Apple
35,33,35,16,153,Rectangle
42,33,43,19,175,Hourglass
35,33,44,16,162,Pear
40,34,30,23,165,InvertedTriangle
41,40,39,18,178,Apple
40,37,35,21,165,InvertedTriangle
38,30,37,16,163,Hourglass
44,43,43,19,158,Apple
41,39,39,20,180,Apple
38,37,37,18,177,Rectangle
40,37,41,18,181,Rectangle
42,38,37,23,158,InvertedTriangle
40,37,41,17,168,Rectangle
40,34,40,16,159,Hourglass
34,32,34,18,160,Rectangle
33,30,39,15,167,Pear
37,35,36,16,174,Rectangle
44,42,41,20,170,Apple
39,38,36,18,170,Apple
40,36,35,20,182,InvertedTriangle
42,37,32,22,181,InvertedTriangle
40,31,38,18,158,Hourglass
35,32,37,18,157,Rectangle
38,36,36,20,179,Apple
43,42,40,18,162,Apple
41,34,39,17,158,Hourglass
42,42,41,17,180,Apple
45,42,38,22,178,InvertedTriangle
39,36,29,20,156,InvertedTriangle
43,37,35,24,181,InvertedTriangle
41,31,42,17,155,Hourglass
39,38,38,17,183,Apple
36,31,43,17,165,Pear
38,35,29,23,156,InvertedTriangle
46,42,38,20,151,InvertedTriangle
37,34,45,15,152,Pear
41,36,36,22,184,InvertedTriangle
43,39,36,22,166,InvertedTriangle
36,35,33,20,162,Apple
35,26,37,16,177,Hourglass
35,25,34,17,176,Hourglass
41,40,40,20,180,Apple
40,38,39,19,166,Apple
33,30,40,15,185,Pear
38,34,48,18,156,Pear
37,31,38,19,174,Hourglass
39,38,39,16,155,Rectangle
39,38,39,16,179,Rectangle
37,32,49,16,176,Pear
38,37,37,19,179,Rectangle
46,41,36,22,160,InvertedTriangle
44,42,41,20,181,Apple
36,32,47,17,175,Pear
39,33,40,19,150,Hourglass
38,33,29,24,167,InvertedTriangle
34,30,41,16,180,Pear
41,41,38,20,182,Apple
34,32,34,17,176,Rectangle
42,32,43,19,152,Hourglass
40,37,39,18,174,Rectangle
34,33,35,19,169,Rectangle
37,37,35,18,178,Apple
46,40,37,24,160,InvertedTriangle
33,28,40,15,168,Pear
43,40,33,22,179,InvertedTriangle
40,37,41,19,161,Rectangle
38,37,37,17,181,Apple
40,31,40,16,150,Hourglass
45,39,35,24,172,InvertedTriangle
35,32,37,19,179,Rectangle
37,34,37,16,178,Rectangle
38,29,40,19,177,Hourglass
34,31,34,19,182,Rectangle
38,35,37,16,184,Rectangle
43,37,36,22,158,InvertedTriangle
41,39,39,20,166,Apple
43,41,40,19,175,Apple
38,32,38,18,184,Hourglass
38,34,30,22,177,InvertedTriangle
35,32,34,19,185,Rectangle
41,31,39,18,174,Hourglass
37,37,35,20,165,Apple
41,40,40,17,170,Apple
34,32,36,17,164,Rectangle
42,33,44,17,151,Hourglass
37,30,37,16,163,Hourglass
38,36,35,18,175,Apple
38,35,49,16,154,Pear
37,31,37,18,174,Hourglass
37,36,38,18,185,Rectangle
38,31,37,18,159,Hourglass
40,35,34,21,171,InvertedTriangle
38,36,37,19,150,Apple
46,41,37,22,165,InvertedTriangle
38,36,35,17,161,Apple
42,41,40,18,160,Apple
35,34,34,17,158,Rectangle
37,33,44,15,154,Pear
37,34,37,19,150,Rectangle
37,30,36,17,154,Hourglass
37,35,45,15,150,Pear
41,38,32,23,177,InvertedTriangle
45,39,40,21,164,InvertedTriangle
39,39,37,17,158,Apple
38,35,46,15,154,Pear
43,38,34,20,178,InvertedTriangle
43,42,40,19,184,Apple
38,36,38,18,168,Rectangle
41,38,36,23,159,InvertedTriangle
41,35,34,22,180,InvertedTriangle
35,33,36,18,152,Rectangle
41,35,34,23,177,InvertedTriangle
40,40,37,20,181,Apple
44,40,38,20,152,InvertedTriangle
39,36,39,19,155,Rectangle
43,40,35,20,167,InvertedTriangle
43,38,37,24,157,InvertedTriangle
37,36,38,16,177,Rectangle
38,30,38,18,182,Hourglass
33,30,43,17,154,Pear
40,34,31,23,156,InvertedTriangle
37,36,36,17,176,Apple
32,29,38,16,153,Pear
32,29,44,17,161,Pear
43,39,36,22,163,InvertedTriangle
40,40,38,19,182,Apple
41,35,40,16,184,Hourglass
36,29,34,16,184,Hourglass
38,38,35,17,152,Apple
32,28,41,18,155,Pear
42,33,43,16,155,Hourglass
38,36,37,18,162,Apple
38,30,40,19,185,Hourglass
41,40,40,19,155,Apple
39,36,39,18,171,Rectangle
46,43,39,22,156,InvertedTriangle
39,36,38,16,156,Rectangle
38,34,49,15,172,Pear
37,36,38,17,162,Rectangle
38,35,45,18,168,Pear
32,27,42,17,160,Pear
38,37,38,18,179,Rectangle
32,27,44,16,176,Pear
34,30,46,18,167,Pear
39,36,40,16,164,Rectangle
34,31,40,18,182,Pear
36,34,33,18,184,Apple
38,36,36,20,162,Apple
34,30,45,18,175,Pear
34,30,42,17,170,Pear
43,42,41,19,167,Apple
38,33,30,24,182,InvertedTriangle
39,34,33,24,159,InvertedTriangle
37,36,34,20,185,Apple
33,28,41,17,176,Pear
34,31,42,17,171,Pear
38,33,45,18,179,Pear
39,35,33,24,185,InvertedTriangle
37,36,39,16,174,Rectangle
43,40,34,23,179,InvertedTriangle
41,38,36,21,172,InvertedTriangle
42,32,43,19,164,Hourglass
45,40,38,21,161,InvertedTriangle
42,38,35,23,183,InvertedTriangle
42,35,44,19,150,Hourglass
39,36,39,16,168,Rectangle
32,29,42,15,178,Pear
46,41,41,24,155,InvertedTriangle
39,36,34,20,180,InvertedTriangle
44,43,42,19,180,Apple
46,40,40,21,161,InvertedTriangle
36,33,47,15,173,Pear
33,29,44,18,154,Pear
37,34,46,16,174,Pear
45,41,39,24,152,InvertedTriangle
38,33,30,23,176,InvertedTriangle
42,39,36,21,179,InvertedTriangle
35,33,37,16,178,Rectangle
43,43,41,17,159,Apple
39,34,34,24,165,InvertedTriangle
39,31,37,16,185,Hourglass
46,43,39,20,182,InvertedTriangle
41,41,38,18,181,Apple
37,35,36,20,161,Apple
43,41,40,17,152,Apple
36,34,35,18,154,Rectangle
38,37,35,17,150,Apple
36,35,38,19,179,Rectangle
33,30,44,16,184,Pear
40,37,39,19,150,Rectangle
35,33,37,18,169,Rectangle
39,39,38,18,171,Apple
37,36,38,18,184,Rectangle
44,42,41,18,179,Apple
37,36,36,17,160,Apple
37,28,38,16,166,Hourglass
40,37,42,17,162,Rectangle
35,27,35,17,155,Hourglass
36,34,47,15,181,Pear
35,33,34,18,174,Rectangle
38,38,35,20,159,Apple
36,34,35,19,160,Rectangle
42,35,43,16,151,Hourglass
37,37,36,17,153,Apple
41,32,40,17,166,Hourglass
41,32,41,19,161,Hourglass
43,37,33,24,182,InvertedTriangle
38,28,39,19,153,Hourglass
34,32,33,19,151,Rectangle
38,32,36,18,157,Hourglass
40,31,39,17,163,Hourglass
45,41,37,22,175,InvertedTriangle
38,34,33,23,152,InvertedTriangle
40,37,42,19,168,Rectangle
35,30,45,17,154,Pear
42,39,37,21,160,InvertedTriangle
38,38,37,20,158,Apple
39,39,38,19,150,Apple
36,36,33,18,150,Apple
34,30,42,15,165,Pear
39,31,37,19,161,Hourglass
39,36,32,23,181,InvertedTriangle
43,42,40,19,181,Apple
41,36,36,20,181,InvertedTriangle
33,31,41,16,180,Pear
34,32,34,18,163,Rectangle
38,35,39,17,176,Rectangle
38,37,39,19,174,Rectangle
34,32,33,17,168,Rectangle
39,35,29,20,176,InvertedTriangle
32,30,44,15,150,Pear
44,40,37,24,162,InvertedTriangle
32,28,43,16,169,Pear
40,40,37,20,182,Apple
45,40,40,24,155,InvertedTriangle
46,41,40,20,154,InvertedTriangle
43,42,40,19,154,Apple
32,29,41,17,163,Pear
44,39,39,24,183,InvertedTriangle
37,35,36,20,154,Apple
35,34,35,18,179,Rectangle
43,37,33,22,164,InvertedTriangle
38,34,50,18,182,Pear
38,34,50,17,160,Pear
33,28,39,18,164,Pear
38,37,37,16,182,Rectangle
37,34,38,19,175,Rectangle
43,42,41,17,150,Apple
39,29,38,18,157,Hourglass
36,36,33,18,157,Apple
41,38,33,23,165,InvertedTriangle
41,41,38,18,181,Apple
42,32,42,16,153,Hourglass
42,36,40,19,159,Hourglass
42,38,34,22,167,InvertedTriangle
43,37,34,24,153,InvertedTriangle
36,33,35,16,159,Rectangle
39,37,41,16,158,Rectangle
40,32,40,19,184,Hourglass
39,32,41,17,181,Hourglass
35,33,36,18,173,Rectangle
42,42,39,18,164,Apple
38,38,37,20,162,Apple
38,36,37,19,161,Rectangle
41,37,32,24,168,InvertedTriangle
38,36,47,17,153,Pear
40,39,38,20,171,Apple
38,36,38,16,163,Rectangle
41,41,38,18,151,Apple
40,35,33,21,180,InvertedTriangle
44,41,38,23,158,InvertedTriangle
39,31,40,16,153,Hourglass
34,31,34,19,155,Rectangle
38,35,28,23,168,InvertedTriangle
45,39,37,22,164,InvertedTriangle
40,30,39,18,155,Hourglass
36,34,38,19,183,Rectangle
34,33,35,16,152,Rectangle
37,36,36,19,184,Apple
46,42,36,21,166,InvertedTriangle
42,41,40,20,162,Apple
36,27,37,18,151,Hourglass
36,28,35,19,152,Hourglass
38,33,30,21,174,InvertedTriangle
37,37,35,19,175,Apple
39,39,36,19,166,Apple
38,34,45,16,163,Pear
35,34,35,16,150,Rectangle
36,34,36,18,158,Rectangle
36,30,36,16,170,Hourglass
46,43,39,21,159,InvertedTriangle
38,38,37,18,165,Apple
34,32,40,17,158,Pear
41,40,39,20,151,Apple
36,36,33,18,183,Apple
34,24,33,16,166,Hourglass
40,33,42,17,152,Hourglass
40,37,34,20,155,InvertedTriangle
35,34,34,16,157,Rectangle
36,33,37,17,176,Rectangle
32,30,41,17,154,Pear
40,35,33,21,150,InvertedTriangle
40,32,38,19,171,Hourglass
40,36,33,23,159,InvertedTriangle
40,34,42,16,180,Hourglass
43,37,35,24,175,InvertedTriangle
44,44,42,20,157,Apple
34,31,36,18,182,Rectangle
37,31,38,19,174,Hourglass
38,38,35,17,184,Apple
38,35,37,19,156,Rectangle
34,31,46,18,171,Pear
44,39,34,24,176,InvertedTriangle
39,38,40,16,170,Rectangle
42,40,41,18,166,Apple
35,29,33,17,178,Hourglass
43,41,41,17,160,Apple
44,42,43,18,168,Apple
34,33,33,19,153,Rectangle
38,36,44,16,157,Pear
34,31,36,17,177,Rectangle
41,39,40,20,181,Apple
39,33,31,20,177,InvertedTriangle
35,31,42,18,168,Pear
45,41,39,24,160,InvertedTriangle
40,38,37,20,165,Apple
40,39,41,16,177,Rectangle
40,30,40,18,172,Hourglass
40,40,39,19,178,Apple
38,38,36,18,158,Apple
40,32,39,19,163,Hourglass
35,32,36,18,173,Rectangle
44,44,41,17,165,Apple
34,32,45,17,183,Pear
45,40,37,23,181,InvertedTriangle
39,36,30,21,181,InvertedTriangle
38,37,37,20,161,Apple
37,27,38,19,151,Hourglass
40,39,42,18,176,Rectangle
36,26,34,19,176,Hourglass
34,25,33,16,169,Hourglass
41,33,39,18,150,Hourglass
34,25,36,16,172,Hourglass
37,35,36,19,168,Rectangle
36,33,45,18,182,Pear
38,37,37,19,179,Apple
35,30,43,17,165,Pear
38,32,33,20,181,InvertedTriangle
41,35,33,20,174,InvertedTriangle
40,37,40,19,174,Rectangle
35,31,41,15,163,Pear
38,37,39,18,163,Rectangle
37,36,37,17,171,Rectangle
43,40,36,24,155,InvertedTriangle
36,34,35,17,177,Apple
37,35,44,17,183,Pear
39,29,40,16,156,Hourglass
43,38,34,21,180,InvertedTriangle
38,34,48,18,182,Pear
42,32,42,19,153,Hourglass
39,37,38,20,155,Apple
35,26,35,17,164,Hourglass
35,33,36,17,152,Rectangle
44,38,35,22,182,InvertedTriangle
44,44,42,20,184,Apple
37,34,38,17,182,Rectangle
41,41,39,20,153,Apple
38,36,40,19,150,Rectangle
39,38,36,17,175,Apple
42,39,34,21,170,InvertedTriangle
35,31,46,17,159,Pear
36,29,36,16,180,Hourglass
36,33,47,15,179,Pear
38,32,36,18,179,Hourglass
35,29,34,18,171,Hourglass
37,36,38,19,171,Rectangle
36,36,35,20,152,Apple
34,24,35,19,185,Hourglass
34,31,34,17,170,Rectangle
38,36,47,16,158,Pear
35,32,45,15,174,Pear
38,37,37,16,163,Rectangle
41,37,31,20,164,InvertedTriangle
37,27,35,18,176,Hourglass
40,34,32,21,153,InvertedTriangle
34,24,35,18,178,Hourglass
39,39,37,19,178,Apple
41,41,39,20,174,Apple
35,30,42,17,167,Pear
39,39,36,17,172,Apple
38,36,50,15,151,Pear
41,39,38,20,176,Apple
36,29,37,19,182,Hourglass
37,37,34,19,183,Apple
34,32,44,15,166,Pear
39,32,41,18,177,Hourglass
44,38,36,24,179,InvertedTriangle
39,38,36,17,163,Apple
39,32,37,18,180,Hourglass
42,35,40,17,163,Hourglass
36,34,38,17,175,Rectangle
39,38,40,17,177,Rectangle
